0	-3.795	1.5	0.15
0.2	-3.755	1.65	0.165
0.399	-3.705	1.9	0.19
0.6	-3.645	2	0.2
0.8	-3.565	2.2	0.22
1	-3.49	2.25	0.225
1.2	-3.425	2.1	0.21
1.4	-3.365	2.05	0.205
1.6	-3.3	2.15	0.215
1.8	-3.225	2.15	0.215
2	-3.125	2.45	0.245
2.2	-3.05	2.35	0.235
2.4	-2.975	2.3	0.23
2.6	-2.915	2.25	0.225
2.8	-2.86	2.2	0.22
3	-2.81	2.2	0.22
3.2	-2.76	2.25	0.225
3.4	-2.715	2.25	0.225
3.6	-2.685	2.05	0.205
3.8	-2.64	2.25	0.225
4	-2.59	2.35	0.235
4.2	-2.555	2.2	0.22
4.4	-2.5	2.35	0.235
4.6	-2.435	2.4	0.24
4.8	-2.365	2.65	0.265
5	-2.33	2.35	0.235
5.2	-2.29	2.3	0.23
5.4	-2.245	2.3	0.23
5.6	-2.195	2.5	0.25
5.8	-2.155	2.4	0.24
6	-2.09	2.65	0.265
6.2	-2.01	2.9	0.29
6.4	-1.925	3.15	0.315
6.6	-1.87	3	0.3
6.8	-1.81	3.1	0.31
7	-1.745	3.1	0.31
7.2	-1.67	3.45	0.345
7.4	-1.605	3.7	0.37
7.6	-1.56	3.5	0.35
7.799	-1.53	3.6	0.36
7.999	-1.505	3.85	0.385
8.2	-1.455	4.45	0.445
8.4	-1.4	5.75	0.575
8.6	-1.33	9.3	0.93
8.8	-1.25	14.8	1.48
8.999	-1.175	27.4	2.74
9.2	-1.11	40.4	4.04
9.399	-1.035	63.9	6.39
9.6	-0.995	82.95	8.295
9.799	-0.955	99.7	9.97
10	-0.915	102.3	10.23
10.199	-0.88	102.3	10.23
