0	-3.785	2.1	0.21
0.2	-3.785	2.15	0.215
0.4	-3.76	2.25	0.225
0.6	-3.74	2.2	0.22
0.8	-3.71	2.2	0.22
1	-3.705	2.1	0.21
1.2	-3.675	2.2	0.22
1.4	-3.635	2.25	0.225
1.6	-3.57	2.4	0.24
1.8	-3.53	2.25	0.225
2	-3.5	2.25	0.225
2.2	-3.475	2.25	0.225
2.4	-3.44	2.25	0.225
2.6	-3.41	2.25	0.225
2.8	-3.39	2.2	0.22
2.999	-3.36	2.25	0.225
3.2	-3.315	2.3	0.23
3.4	-3.255	2.35	0.235
3.6	-3.19	2.4	0.24
3.8	-3.12	2.45	0.245
4	-3.045	2.4	0.24
4.2	-2.995	2.35	0.235
4.4	-2.92	2.5	0.25
4.6	-2.855	2.4	0.24
4.8	-2.81	2.35	0.235
5	-2.75	2.45	0.245
5.199	-2.675	2.45	0.245
5.401	-2.625	2.35	0.235
5.6	-2.58	2.3	0.23
5.801	-2.55	2.25	0.225
5.999	-2.48	2.45	0.245
6.2	-2.4	2.55	0.255
6.401	-2.32	2.6	0.26
6.6	-2.265	2.5	0.25
6.8	-2.225	2.5	0.25
7	-2.175	2.5	0.25
7.2	-2.115	2.55	0.255
7.4	-2.05	2.6	0.26
7.6	-1.985	2.65	0.265
7.8	-1.92	2.7	0.27
8	-1.87	2.6	0.26
8.2	-1.805	2.65	0.265
8.4	-1.73	2.75	0.275
8.6	-1.65	2.85	0.285
8.8	-1.555	2.95	0.295
9	-1.47	2.85	0.285
9.2	-1.4	2.75	0.275
9.4	-1.345	2.6	0.26
9.6	-1.27	2.8	0.28
9.8	-1.195	2.75	0.275
10	-1.14	2.65	0.265
10.2	-1.09	2.6	0.26
10.4	-1.05	2.45	0.245
10.6	-0.995	2.55	0.255
10.8	-0.95	2.55	0.255
11	-0.9	2.6	0.26
11.2	-0.85	2.6	0.26
11.4	-0.805	2.6	0.26
11.6	-0.77	2.45	0.245
11.8	-0.74	2.5	0.25
12	-0.695	2.8	0.28
12.2	-0.655	3.6	0.36
12.4	-0.62	5.5	0.55
12.6	-0.595	7.55	0.755
12.8	-0.555	12.75	1.275
13	-0.52	20.35	2.035
13.2	-0.51	25.65	2.565
13.401	-0.51	25.45	2.545
13.6	-0.51	25.45	2.545
13.8	-0.5	28.3	2.83
14	-0.49	30.75	3.075
14.2	-0.49	32.45	3.245
14.4	-0.485	34.25	3.425
14.6	-0.48	36.4	3.64
14.8	-0.48	38.4	3.84
15	-0.475	39.45	3.945
15.2	-0.475	39.75	3.975
15.4	-0.465	42.35	4.235
15.6	-0.46	46.4	4.64
15.8	-0.455	50.45	5.045
16	-0.45	54.2	5.42
16.2	-0.45	55.55	5.555
16.4	-0.445	57.75	5.775
16.6	-0.445	58.4	5.84
16.8	-0.44	59.1	5.91
17	-0.44	60.4	6.04
17.2	-0.435	62.6	6.26
17.4	-0.43	64.85	6.485
17.6	-0.425	68.2	6.82
17.8	-0.425	70.9	7.09
18	-0.42	73.5	7.35
18.2	-0.42	78.1	7.81
18.4	-0.415	79.5	7.95
18.6	-0.415	81.8	8.18
18.8	-0.405	84.8	8.48
19	-0.405	89.45	8.945
19.2	-0.4	90.05	9.005
19.4	-0.39	95.5	9.55
19.6	-0.385	100.55	10.055
19.8	-0.375	102.25	10.225
20	-0.375	102.3	10.23
20.2	-0.375	102.3	10.23
